Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1040662,Hayat Medical College,2.9,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Electromechanical Engineer,Computer buisness,"Mobile phone with touch screen, ",Yes,35,19,13,67
1015394,Addis Ababa University,2.2,2015,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Civil servant,Civil servent,"Mobile phone with touch screen, ",Yes,33,24,10,67
1012541,wollega university,3.11,2004,No,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,civil servant,civil servant,"Mobile phone with touch screen, ",Yes,35,18,14,67
1042894,Gondar,3.23,2007,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,civil servant,civil servant,"Mobile phone with touch screen, ",Yes,29,28,10,67
1037499,Addis Ababa UNIVERSITY,3.36,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Store Keeper,Chef,"Mobile phone with touch screen, ",Yes,30,28,9,67
1012647,Adigrat university,3.49,2019,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,teacher,bank officer," Mobile phone without touch screen, ",No,33,21,13,67
1042517,Jimma University Institute of Technology,3.39,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,human resource administration in government office,auditor,"Mobile phone with touch screen, ",No,41,13,13,67
17217,Unity University,3.69,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,,Same as,Lecturer,Accountant,"Mobile phone with touch screen, Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,33,22,12,67
1012766,Bahir Dar University,3.87,2018,Yes,Oromia,Oromia,,Secondary Education,Post Secondary,Same as,Government employee,Accountant,"Mobile phone with touch screen, ",Yes,30,22,15,67
1040732,unity university,3,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,pharmasist,accountant,"Mobile phone with touch screen, ",Yes,31,20,16,67
1032555,Bahirdar University,3.82,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,human resourse director,accountant,"Mobile phone with touch screen, ",Yes,34,16,17,67
4383,Rift Valley University,3.92,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,,Better than,-,-," Laptop computer, ",No,25,21,21,67
1014367,Addis Ababa university,3.05,2019,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,mechanic,typist,"Mobile phone with touch screen, ",Yes,20,29,17,66
1016172,mekele university,3.13,2013,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Non Literate Adult and Non Formal Education,Same as,machinery,trade,"Mobile phone with touch screen, ",No,34,19,13,66
19191,St Paul Hospital Millennium Medical College,2.89,2018,Yes,Oromia,Oromia,,Secondary Education,,Same as,Teacher,teacher,"Mobile phone with touch screen, ",Yes,25,26,15,66
1012944,MEKELLE University,2.68,2020,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,Marchant,teacher,"Mobile phone with touch screen, ",Yes,32,23,11,66
1013952,Addis Ababa University,3.25,2014,Yes,Addis Ababa,"Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,34,19,13,66
1018696,Addis Ababa University,3.75,2017,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,25,26,15,66
1042913,dilla university,3.49,2020,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Same as,mechanic and driver,teacher,"Mobile phone with touch screen, ",Yes,26,25,15,66
1037536,Arba Minch University,3.09,2018,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",No,31,24,11,66
1042069,Arbaminch  university,2.93,2004,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,TEACHER,TEACHER,"Mobile phone with touch screen, ",Yes,31,22,13,66
1018708,Addis Ababa University,3.32,2008,Yes,"Southern Nations, Nationalities, and Peoples",Addis Ababa,,Post Secondary,Post Secondary,Same as,private,she was accountant,"Mobile phone with touch screen, ",Yes,28,29,9,66
1016470,Aksum University,2.63,2010,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Senior accountant,Senior Acountant,"Mobile phone with touch screen, ",Yes,38,17,11,66
47533,Jimma university,2.12,2002,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,dead,Self Employed," Laptop computer, ",No,24,30,12,66
1085198,mekelle university,2.99,2019,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,broker,self employed,"Mobile phone with touch screen, ",Yes,41,11,14,66
1016098,Haramaya universty,3.56,2015,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retired,retired,"Mobile phone with touch screen, ",Yes,28,24,14,66
1014726,Addis Ababa Science and Technology University,3.17,2010E.C,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,Retired,Retired,"Mobile phone with touch screen, ",Yes,34,15,17,66
1084971,JIMMA UNIVERSITY,2.87,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,RETIRE,retired,"Mobile phone with touch screen, ",Yes,33,19,14,66
1002677,Dire dawa university,3.05,2007,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,Retiered city bus driver,Retiered educational expert,"Mobile phone with touch screen, ",Yes,35,14,17,66
1002716,Addis Ababa Science and Technology University,2.87,2021,No,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Resigned,Resigned,"Mobile phone with touch screen, ",Yes,29,21,16,66
1042971,Unity University,3.92,2011 e.c,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,private,Public office,"Mobile phone with touch screen, ",Yes,31,22,13,66
1013148,Bahirdar university,3.89,2021GC,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Private work,Private work,"Mobile phone with touch screen, ",No,31,22,13,66
