Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1017685,Addis Ababa University,3.81,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Addis Ababa,Addis Ababa,"Mobile phone with touch screen, ",Yes,52,38,23,113
1000399,Addis Ababa university,3.98,2020,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Banker,house wife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,48,32,23,103
1016311,AASTU,3.43,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retired,teacher,"Mobile phone with touch screen, ",Yes,49,33,20,102
1032491,Addis Ababa University,3.75,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Elder,None,"Mobile phone with touch screen, ",Yes,48,34,20,102
1016650,Arba Minch Unviersity,3.64,2003,Yes,Tigray,Tigray,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,no occupation,no occupation,"Mobile phone with touch screen, ",No,48,37,16,101
1002816,AAU,3.89,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Managment,Secretary,"Mobile phone with touch screen, ",Yes,50,30,20,100
1040493,Addis Ababa University,3.12,2018,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Better than,Manager,Manager,"Mobile phone with touch screen, ",Yes,42,36,22,100
1013924,Addis Ababa Science and Technology University,3.45,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Trainer and Consultant,house wife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,46,35,19,100
1032466,Addis Ababa UNIVERSITY,3.4,2022,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Hydrological Engineer,Senior Nurse,"Mobile phone with touch screen, ",Yes,55,27,17,99
1016220,Addis Ababa Institute of Technology,2.5,2015,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Accountant,Accountant,"Mobile phone with touch screen, ",Yes,48,30,21,99
1017658,Gondar University,3.22,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Accountant,Accountant,"Mobile phone with touch screen, ",Yes,48,31,20,99
1012615,ste Paulss Hospital Millennium Medical College,3.09,2017,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,private,housewife,"Mobile phone with touch screen, ",Yes,48,27,23,98
1017417,AAU,3.57,2020,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,private buisness,housewife,"Mobile phone with touch screen, ",Yes,43,35,20,98
1012671,AAiT,2.7,2016,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Deceased,Homemaker,"Mobile phone with touch screen, ",Yes,50,27,21,98
1040558,Addis Ababa University,2.7,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,University Lecturer,Civil Servant,"Mobile phone with touch screen, ",Yes,40,37,21,98
1019955,Jimma University,3.81,2018 G.C,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",No,41,36,20,97
1085116,University of gondar,2.7,2009,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,41,40,16,97
1014765,Addis Ababa University,3.15,1997,Yes,Oromia,Oromia,,Primary Education,Primary Education,Better than,Farmer,House wife,"Mobile phone with touch screen, ",Yes,49,25,23,97
1002767,Addis Ababa Universty,2.73,2011,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retired,Administrator,"Mobile phone with touch screen, ",Yes,49,28,20,97
1013820,mekelle,3.33,2011,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,deceased,retired,"Mobile phone with touch screen, ",Yes,53,24,19,96
1017538,Addis Ababa university,3.86,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Management,retired,"Mobile phone with touch screen, ",Yes,44,31,21,96
1040898,Addis Ababa University,3.56,2021,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Lecturer,Prosecutor,"Mobile phone with touch screen, ",Yes,41,33,22,96
47567,Bahir Dar University,2.61,2005,Yes,Amhara,Amhara,,Primary Education,Secondary Education,Same as,Retailer,House Wife,"Mobile phone with touch screen, ",Yes,38,38,20,96
1000236,Addis Ababa University,3.26,2001,Yes,Amhara,Amhara,,Secondary Education,Non Literate Adult and Non Formal Education,Same as,Government Employee,HOUSE WIFE,"Mobile phone with touch screen, ",Yes,37,39,20,96
1014049,Addis Ababa University,2.61,1991,Yes,Amhara,Amhara,,Secondary Education,Other,Better than,Farmer,Farmer," Mobile phone without touch screen, ",Yes,48,28,20,96
1014971,ADDIS ABABBA UNIVERSITY,3.88,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Civil Servant,Civil Servant,"Mobile phone with touch screen, ",Yes,49,23,24,96
1015357,Addis Ababa UNIVERSITY,3.48,2008,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Same as,DECEASED,ENTERPRUNER,"Mobile phone with touch screen, ",Yes,44,32,19,95
1017612,hawassa,2.81,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,manager,business woman,"Mobile phone with touch screen, ",Yes,36,38,21,95
1017060,University of Zimbabwe,3.5,2017,No,,,,Post Secondary,Secondary Education,Same as,Accountant,Tailor,"Mobile phone with touch screen, ",Yes,37,34,23,94
1000078,Bahirdar University,3.77,2011,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Manager,Secretary,"Mobile phone with touch screen, ",No,40,30,24,94
1017570,university of gondar,3.49,2013,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,manager,Secretary,"Mobile phone with touch screen, ",Yes,39,33,22,94
19165,Admas University,3.78,2019 G.C,Yes,Addis Ababa,Addis Ababa,,Post Secondary,,Same as,Accountant,human Resource Team Leader,"Mobile phone with touch screen, ",Yes,42,32,20,94
1003006,Myungsung Medical College,3.62,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,College Instructor/ Pastor,Housewife,"Mobile phone with touch screen, ",Yes,45,28,21,94
1017688,Addisababa university,3.87,2020/ 2012e.c,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,private business,house wife,"Mobile phone with touch screen, ",Yes,48,27,19,94
1014542,Addis Ababa University,2.56,2020,No,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,governmental worker,governmental worker,"Mobile phone with touch screen, ",Yes,44,34,16,94
1017679,Addis Ababa University College of Health sciences school of medicine,3.69,2018,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Better than,Contractor and Construction,Chef,"Mobile phone with touch screen, ",Yes,47,28,19,94
1046787,Jimma University,3.65,2009,Yes,Oromia,Oromia,,Secondary Education,Primary Education,Worse than,Retiered,House-wife,"Mobile phone with touch screen, ",No,43,32,18,93
1017482,AAU,3.29,2019,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Same as,Trucker,Housewife,"Mobile phone with touch screen, ",Yes,42,29,22,93
1040523,microlink information technology college,3.99,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,Retired,Financial Auditor,"Mobile phone with touch screen, ",Yes,39,33,21,93
1017005,Addia Ababa University,3.76,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Teacher (Retired),Teacher,"Mobile phone with touch screen, ",Yes,41,33,18,92
1017615,Addis Ababa University,3.73,2019,Yes,Sidama,Sidama,,Post Secondary,Post Secondary,Better than,Engineer,Teacher,"Mobile phone with touch screen, ",Yes,43,29,20,92
1085115,Addis Ababa University,3.74,2011,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,teacher,teacher,"Mobile phone with touch screen, ",Yes,42,32,18,92
1032458,Addis Ababa University,3.45,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Teacher,Purchaser,"Mobile phone with touch screen, ",Yes,47,26,19,92
1017674,university of Gondar,3.45,2016,Yes,Amhara,Amhara,,Secondary Education,Primary Education,Same as,merchant,housewife,"Mobile phone with touch screen, ",Yes,48,24,20,92
1017655,St Paul Hospital Millennium Medical College,3.3,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Physician,housewife,"Mobile phone with touch screen, ",Yes,47,28,17,92
1014439,Addis Ababa University,3.9,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Civil Servant,Civil Servant,"Mobile phone with touch screen, ",Yes,52,20,20,92
1032573,Adama Science and Technology University,3.72,2021,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Primary Education,Better than,Business Man,Business,"Mobile phone with touch screen, ",Yes,37,37,18,92
1017656,Addis Ababa University,3.43,2017,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,engineer,accountant,"Mobile phone with touch screen, ",Yes,43,33,16,92
1040484,Addis Ababa University,3.32,2019,Yes,Oromia,Oromia,,Primary Education,Post Secondary,Same as,Operator,Teacher,"Mobile phone with touch screen, ",Yes,31,36,24,91
1042911,University of Gondar,2.94,2020 GC,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Retired,Store keeper,"Mobile phone with touch screen, ",Yes,38,31,22,91
1015933,Addis Ababa University,3.34,2012,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Lab Technologist/retired,Secretary/retired,"Mobile phone with touch screen, ",Yes,35,34,22,91
1083699,Addis Ababa university,3.28,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Other,Same as,Manager,no,"Mobile phone with touch screen, ",Yes,44,30,17,91
1085081,Myungsung Medical College,3.41,2012/ 2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Medical Doctor,Medical Doctor,"Mobile phone with touch screen, ",Yes,49,24,18,91
1017486,university of Gondar,3.22,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Retired,Human resource officer,"Mobile phone with touch screen, ",Yes,40,31,20,91
1002658,Addis Ababa University,3.83,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Construction Manager,Housewife,"Mobile phone with touch screen, ",Yes,43,29,19,91
1000191,Addis Ababa University,3.58,2000 E.C,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,House wife,"Mobile phone with touch screen, ",No,35,36,20,91
1002903,Addis Ababa University,3.11,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Better than,Mechanical Engineer,House wife,"Mobile phone with touch screen, ",Yes,42,30,19,91
1046963,Regional maritime university Ghana,3.5,2009,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Retired,House Wife,"Mobile phone with touch screen, ",Yes,43,31,17,91
1017544,Addis Ababa University,3.38,2017,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,farmer,"Mobile phone with touch screen, ",Yes,42,35,14,91
1017589,Bahir Dar University College of Medicine and Health Science,3.55,2021,No,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,civil servant,civil servant," Tablet, ",Yes,42,28,21,91
1002732,Addis Ababa Science an Technology University,3.29,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retired,Auditer,"Mobile phone with touch screen, ",No,44,27,20,91
1017559,Addis Ababa University,3.65,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Accountant,Accountant,"Mobile phone with touch screen, ",No,34,36,21,91
1017669,Addis Ababa University,3.09,2018,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Unemployed,Unemployed,"Mobile phone with touch screen, ",No,41,31,18,90
1002707,st paul hospital mellenium medical college,3.62,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,teacher,teacher,"Mobile phone with touch screen, ",Yes,42,28,20,90
1017523,university of gondar,2.73,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,buissnessman,teacher,"Mobile phone with touch screen, ",Yes,38,31,21,90
1017648,Addiss Ababa university,3.67,2019,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,teacher,teacher,"Mobile phone with touch screen, ",Yes,38,32,20,90
1017717,Addis Ababa University,3.45,2021,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Private Business,Private Business,"Mobile phone with touch screen, ",Yes,42,28,20,90
1032522,AAU Natural and Computational Science,3.93,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Better than,Private,Private,"Mobile phone with touch screen, ",Yes,42,34,14,90
1040599,Addis Ababa University,3.23,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Government,Private,"Mobile phone with touch screen, ",No,31,36,23,90
1040577,ARBA MINCH UNIVERSITY,3.89,2013,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,PENSIONER,PENSIONER,"Mobile phone with touch screen, ",Yes,40,27,23,90
1017465,Addis Ababa University,3.12,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,physician,nurse,"Mobile phone with touch screen, ",Yes,33,35,22,90
1040474,Haramaya University,3.8,2011,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,NA,None,"Mobile phone with touch screen, ",Yes,41,28,21,90
1002994,Addis Ababa Science and Technology University,3.69,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,lawyer,lawyer,"Mobile phone with touch screen, ",Yes,45,26,19,90
1017422,Yekatit 12 Hospital Medical College,2.8,2018,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,Pensionate,Housewife,"Mobile phone with touch screen, ",No,41,27,22,90
1019946,Addis Ababa UNIVERSITY,3.48,2021 G.C,No,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Same as,Government employee,House wife,"Mobile phone with touch screen, ",No,39,33,18,90
1040903,Unity University College,3.12,2022,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,Employee,Employee," Mobile phone without touch screen, ",Yes,35,33,22,90
1002718,Saint Paul Hospital Millennium Medical College,2.96,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Millitary,Accountant,"Mobile phone with touch screen, ",Yes,50,22,18,90
1013611,Addis Ababa University,3.11,2013 G.C,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Electronics,Accountant,"Mobile phone with touch screen, ",Yes,37,33,20,90
1019864,"Kalinga institute of industrial technology,INDIA",9.59,2021,No,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,Government employee,Teacher,"Mobile phone with touch screen, ",Yes,41,25,23,89
1002663,Rift Valley University,3.67,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Worse than,Retired,Retired,"Mobile phone with touch screen, ",No,46,24,19,89
1017493,saint paul millenium medical college,3.1,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,health officer,pharmacist,"Mobile phone with touch screen, ",Yes,38,32,19,89
1015024,Addis Ababa UNIVERSITY,3.54,2018,Yes,Amhara,Amhara,,Post Secondary,Secondary Education,Same as,Teacher,Housewife,"Mobile phone with touch screen, ",No,39,26,24,89
1032601,Bahir Dar University,3.6,2021,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Teacher,Housewife,"Mobile phone with touch screen, ",Yes,44,27,18,89
1002786,Addis Ababa University,3.11,2016,Yes,Amhara,Amhara,,Post Secondary,Non Literate Adult and Non Formal Education,Same as,Teacher,house wife,"Mobile phone with touch screen, ",Yes,49,21,19,89
1002883,Addis Ababa University,3.27,2016 A.D,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Better than,MECHANIC,HOUSE WIFE,"Mobile phone with touch screen, ",Yes,46,23,20,89
1040557,ste Maryss University,3.96,2019,Yes,Addis Ababa,Dire Dewa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,carpentery,House wife,"Mobile phone with touch screen, ",Yes,33,34,22,89
1041998,EiABC,3.14,2011,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,project maneger,HOUSE WIFE,"Mobile phone with touch screen, ",Yes,43,30,16,89
1040702,"Addis Ababa University, School of Commerce",2.71,2021,No,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Better than,Businessman,Flight Attendant Ethipian Airlines,"Mobile phone with touch screen, ",Yes,44,26,19,89
1000183,Addis Ababa University,3.36,1998,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,Diseased,Diseased,"Mobile phone with touch screen, ",Yes,45,27,17,89
1040691,"Addis Ababa University, College of Natural and Computational Sciences, School of Earth Sciences",3.69,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,Deceased,Customer Service Officer,"Mobile phone with touch screen, ",Yes,40,27,22,89
1013801,Haramaya University,3.1,2010 GC,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Economist,Accountant,"Mobile phone with touch screen, ",Yes,45,26,18,89
1016994,mekelle,2.85,2014,Yes,Addis Ababa,Tigray,,Post Secondary,Secondary Education,Same as,business owner,accountant,"Mobile phone with touch screen, ",Yes,39,29,21,89
1000239,Addis Ababa University,3.61,2008,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Teacher,Teacher," Laptop computer, ",No,36,35,17,88
1017661,Addis Ababa UNIVERSITY,2.83,2017,Yes,Sidama,Sidama,,Post Secondary,Post Secondary,Same as,VETERINARY MEDICINE,TEACHER,"Mobile phone with touch screen, ",Yes,41,31,16,88
1017435,adama science and technology,2.6,2011,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,driver,private buissness,"Mobile phone with touch screen, ",Yes,39,28,21,88
1085063,Adigrat University,2.79,2020,Yes,Addis Ababa,Addis Ababa,,Other,Secondary Education,Same as,Government official,private,"Mobile phone with touch screen, ",No,36,35,17,88
1002885,Addis Ababa University,3.2,2015,Yes,Amhara,Amhara,,Post Secondary,Other,Same as,Teacher,other,"Mobile phone with touch screen, ",Yes,44,25,19,88
1032426,Addis Ababa University,3.95,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,University Staff,Merchant,"Mobile phone with touch screen, ",Yes,54,20,14,88
1032595,Ewha Womans University,2.9,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,General Practitioner,Housewife,"Mobile phone with touch screen, ",Yes,47,22,19,88
19193,Mekelle University,3.84,2020,No,Addis Ababa,Addis Ababa,,Post Secondary,,Same as,Lawyer,House wife,"Mobile phone with touch screen, ",Yes,42,26,20,88
1014269,ste paulss hospital millenium medical college,3.34,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Pensioner,house wife,"Mobile phone with touch screen, ",No,43,29,16,88
1017690,Addis Ababa Unversity,3.76,2013,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Primary Education,Non Literate Adult and Non Formal Education,Better than,FARMER,House wife,"Mobile phone with touch screen, ",Yes,47,26,15,88
1017710,AddisAbaba university,3.84,2019,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Same as,Nurse,House wife,"Mobile phone with touch screen, ",Yes,40,30,18,88
1032621,AAU,3.34,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,journalist,house wife,"Mobile phone with touch screen, ",No,48,23,17,88
1085180,Addis Ababa university,3.06,2017,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Better than,Merchant,House wife,"Mobile phone with touch screen, ",Yes,42,30,16,88
1085210,st Paul hospital millennium medical collage,3,2018,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,government,government,"Mobile phone with touch screen, ",Yes,45,25,18,88
1002695,Bahir Dar University,3.83,2007,Yes,Oromia,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farming,Farming,"Mobile phone with touch screen, ",Yes,42,26,20,88
1084895,Addis Ababa universitycollege of health sience school of medicine,2.95,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,importer,Accuontant,"Mobile phone with touch screen, ",Yes,46,23,19,88
1084857,Addis Ababa university,3.57,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,private,accountant,"Mobile phone with touch screen, ",Yes,43,23,22,88
1002776,Addis Ababa University,3.38,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Retireee,Teacher," Mobile phone without touch screen, ",Yes,46,23,18,87
1019897,Adama University,3.67,2012,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,Self Employeed,Self Employeed,"Mobile phone with touch screen, ",Yes,49,18,20,87
1013856,Addis Ababa university southern campus,3,1998,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Better than,retired,retired,"Mobile phone with touch screen, ",Yes,51,23,13,87
1013986,new generation university collogue,3.95,2016,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,Retired,Retired,"Mobile phone with touch screen, ",Yes,45,27,15,87
1018636,Addis Ababa University,3.23,2003,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Retired,Retired,"Mobile phone with touch screen, ",Yes,42,32,13,87
1040940,Addis Ababa University,2.5,2014,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Government Employee,Retired,"Mobile phone with touch screen, ",Yes,41,26,20,87
1017505,Addis Ababa University,3.72,2020,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Retired,public servant,"Mobile phone with touch screen, ",Yes,33,33,21,87
1017519,Addis Ababa university,3.74,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,none,private work,"Mobile phone with touch screen, ",Yes,37,34,16,87
1040886,Unity University,3.98,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Manager,Private,"Mobile phone with touch screen, ",Yes,38,30,19,87
18493,AAU,3,2013,Yes,Addis Ababa,Addis Ababa,,Secondary Education,,Better than,Merchant,Pharmacist,"Mobile phone with touch screen, ",Yes,38,33,16,87
1002719,Addis Ababa University,2.82,2017,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Secretary,Nurse,"Mobile phone with touch screen, ",Yes,47,19,21,87
1017055,Addis Ababa university,3.4,2016,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Primary Education,Same as,merchant,housewife,"Mobile phone with touch screen, ",Yes,37,28,22,87
1017498,Addis Ababa University,3.61,2020,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,teacher,Housewife,"Mobile phone with touch screen, ",Yes,39,33,15,87
1017678,Addis Ababa University,3.32,2021,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,lawyer,housewife," Laptop computer, ",Yes,38,30,19,87
1017697,university of Gondar,3.48,2011,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,farmer,Housewife,"Mobile phone with touch screen, ",Yes,35,35,17,87
1017527,Addis Ababa university,3.72,2019,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Primary Education,Same as,teacher,housewife,"Mobile phone with touch screen, ",Yes,34,31,22,87
1017716,Adama Science and Technology University,3.15,2020,Yes,Oromia,Oromia,,Secondary Education,Primary Education,Same as,private,House wife,"Mobile phone with touch screen, ",Yes,49,21,17,87
1000154,"AAU, CHS",3.6,2015 GC,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retired,government employee,"Mobile phone with touch screen, ",Yes,40,30,17,87
1017597,Addis Ababa University,3.34,2017,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Consultancy,Business,"Mobile phone with touch screen, ",Yes,34,30,23,87
1032567,Tianjin Chengjian University,3.6,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Pharmacist,Auditor,"Mobile phone with touch screen, ",Yes,48,22,17,87
1042642,Addis Ababa university,3.61,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Pensioner,Attorney,"Mobile phone with touch screen, ",Yes,44,28,15,87
1017671,Addis Ababa University,3.41,2020,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,46,24,16,86
1046900,Addis Ababa University,2.9,2012,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,Retired,TEACHER,"Mobile phone with touch screen, ",Yes,43,24,19,86
1000002,Bahirdar University,2.74,1995,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,Surveyor,Retired,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,38,24,24,86
1002940,Addis Ababa UNIVERSITY,2.49,2017,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Retired,Retired,"Mobile phone with touch screen, ",Yes,48,21,17,86
1084905,ste Paulss Hospital Millennium Medical College,3.55,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Private,Retired,"Mobile phone with touch screen, ",Yes,45,24,17,86
1002911,Addis Ababa University,3.83,2020,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,University lecturer,private,"Mobile phone with touch screen, ",Yes,45,21,20,86
1002875,Addis Abeba universtiy,3.88,2020,Yes,Addis Ababa,Addis Ababa,,Primary Education,Post Secondary,Same as,businessman,private,"Mobile phone with touch screen, ",Yes,42,27,17,86
1017647,Addis Ababa University,3.69,2012 E.C,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,Primary Education,Worse than,Private,Private,"Mobile phone with touch screen, ",Yes,33,30,23,86
1018662,saint Maryss university,3.83,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,dental surgeon,nurse,"Mobile phone with touch screen, ",Yes,39,31,16,86
1040912,"Addis Ababa University, School of Commerce",3.5,2021 g.c,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Accountant,Information Technology,"Mobile phone with touch screen, ",Yes,33,31,22,86
1002782,Addis Ababa UNIVERSITY,2.86,2017,Yes,Oromia,Addis Ababa,,Post Secondary,Secondary Education,Same as,DEPUTY GENERAL MANAGER AT A CONSTRUCTION COMPANY,HOUSE WIFE,"Mobile phone with touch screen, ",Yes,39,32,15,86
